Customer_ID,Customer_Name,Age,Gender,City,Purchase_Amount,Purchase_Date,Product_Category,Feedback_Rating
CUST4264,William Hill,,Female,,8036.13,2025-02-21,,5
CUST3218,Steven Kelly,,,Unknown,4623.38,2024-11-22,Clothing,1
CUST4632,Ronald Ferguson,56.0,,Unknown,7580.82,2020-08-23,Cloths,1
CUST4355,Melissa Fuller,115.0,female,Chicago,3051.82,2020-08-04,Cloths,
CUST4389,Catherine Harris,26.0,Fmale,LosAngeles,,not_a_date,,5
CUST2458,Dana Thomas,111.0,male,Houston,,2026-01-04,Electronics,4
CUST2819,,27.0,Fmale,Unknown,726.31,2024-06-28,Electronics,2
CUST1899,Samantha Hoffman,,,Chicago ,6867.66,2026-01-16,Electronics,2
CUST1150,Heather Burgess,,Mle,LosAngeles,9048.27,2025-12-11,Furniture,6
CUST2175,,,male,,7013.3,2020-01-21,unknown,
CUST5383,Michael Carey,70.0,,,,2024-12-18,electronics ,0
CUST4601,Jennifer Sullivan,182.0,Female,Houston,,,unknown,4
CUST1087,,193.0,male,New York,,,electronics ,
CUST2218,Lisa Paul,-5.0,Fmale,Houston,8158.77,2019-08-01,unknown,NaN
CUST3293,Lauren Jackson,-5.0,male,LosAngeles,6353.86,,electronics ,6
CUST5765,,,female,,8548.11,not_a_date,,2
CUST2888,Mark Smith,,,New York,1329.45,2018-04-17,Electronics,3
CUST1348,Alison Perry,200.0,female,New York,4848.08,2018-07-26,furniture,
CUST4506,Nathan Conner,-5.0,Male,LosAngeles,8435.18,2019-05-19,,NaN
CUST5129,Theresa Conrad,,Female,,,2025-12-27,furniture,3
CUST2882,,,,Houston,1569.68,2024-05-18,electronics ,3
CUST5122,Crystal Peterson,-5.0,Fmale,Houston,9256.56,2024-09-05,,2
CUST5009,Robert Thornton,31.0,,Chicago,,2016-04-29,Cloths,3
CUST3958,Jacqueline Bonilla,,Male,,5295.45,2016-04-19,Cloths,
CUST5817,Emily Le,41.0,Female,,9889.03,,Clothing,5
CUST3974,Emily Haas,40.0,,,1640.58,2020-10-08,,0
CUST4661,Joshua Thompson,59.0,Female,Houston,6415.04,not_a_date,,6
CUST5657,,116.0,Fmale,New York,7126.94,not_a_date,,2
CUST3661,Danielle Harris,58.0,male,Unknown,7421.86,not_a_date,Cloths,
CUST5662,Amy Elliott,47.0,Mle,Chicago ,816.14,2020-09-12,,3
CUST5254,Jill King,59.0,Fmale,LosAngeles,,2024-11-10,Furniture,1
CUST2718,Jennifer Zhang,168.0,,,,2017-04-03,furniture,5
CUST5196,Steven Howard,-5.0,female,Los Angeles,6536.72,2024-12-25,,2
CUST4904,Bryan Keller,107.0,male,Chicago,,2016-08-13,unknown,5
CUST3353,Daniel Mason,-5.0,male,Los Angeles,1897.77,not_a_date,Clothing,
CUST3154,,,female,,5458.36,,Electronics,0
CUST2746,Andrew Foster,-5.0,,Houston,,2017-07-24,,
