customer_id,customer_name,age,gender,city,purchase_amount,purchase_date,product_category,feedback_rating,Age
cust4264,william hill,97.44,female,chicago,8036.13,2025-02-21,furniture,5.0,44.0
cust3218,steven kelly,97.44,male,chicago,4623.38,2024-11-22,clothing,1.0,44.0
cust4632,ronald ferguson,56.0,male,chicago,7580.82,2020-08-23,cloths,1.0,56.0
cust4355,melissa fuller,115.0,female,chicago,3051.82,2020-08-04,cloths,2.88,44.0
cust4389,catherine harris,26.0,male,chicago,5032.58,2024-07-07,furniture,5.0,26.0
cust2458,dana thomas,111.0,male,houston,5032.58,2026-01-04,electronics,4.0,44.0
cust2819,james johnson,27.0,male,chicago,726.31,2024-06-28,electronics,2.0,27.0
cust1899,samantha hoffman,97.44,male,chicago,6867.66,2026-01-16,electronics,2.0,44.0
cust1150,heather burgess,97.44,male,chicago,9048.27,2025-12-11,furniture,5.0,44.0
cust2175,james johnson,97.44,male,chicago,7013.3,2020-01-21,furniture,2.88,44.0
cust5383,michael carey,70.0,male,chicago,5032.58,2024-12-18,electronics,0.0,70.0
cust4601,jennifer sullivan,182.0,female,houston,5032.58,2024-07-07,furniture,4.0,44.0
cust1087,james johnson,193.0,male,new york,5032.58,2024-07-07,electronics,2.88,44.0
cust2218,lisa paul,97.44,male,houston,8158.77,2019-08-01,furniture,2.88,44.0
cust3293,lauren jackson,97.44,male,chicago,6353.86,2024-07-07,electronics,5.0,44.0
cust5765,james johnson,97.44,female,chicago,8548.11,2024-07-07,furniture,2.0,44.0
cust2888,mark smith,97.44,male,new york,1329.45,2018-04-17,electronics,3.0,44.0
cust1348,alison perry,200.0,female,new york,4848.08,2018-07-26,furniture,2.88,44.0
cust4506,nathan conner,97.44,male,chicago,8435.18,2019-05-19,furniture,2.88,44.0
cust5129,theresa conrad,97.44,female,chicago,5032.58,2025-12-27,furniture,3.0,44.0
cust2882,james johnson,97.44,male,houston,1569.68,2024-05-18,electronics,3.0,44.0
cust5122,crystal peterson,97.44,male,houston,9256.56,2024-09-05,furniture,2.0,44.0
cust5009,robert thornton,31.0,male,chicago,5032.58,2016-04-29,cloths,3.0,31.0
cust3958,jacqueline bonilla,97.44,male,chicago,5295.45,2016-04-19,cloths,2.88,44.0
cust5817,emily le,41.0,female,chicago,9889.03,2024-07-07,clothing,5.0,41.0
